ReactionID	Reaction	Compartment	x1	y1	x2	y2
r_0478	formate dehydrogenase	c_02	NA	NA	NA	NA
r_0479	formate-tetrahydrofolate ligase	c_02	NA	NA	NA	NA
r_0481	fructose-1-phosphate kinase	c_02	NA	NA	NA	NA
r_0483	fructose-bisphosphatase	c_02	NA	NA	NA	NA
r_0484	fructose-bisphosphate aldolase	c_02	NA	NA	NA	NA
r_0485	fumarase	c_02	NA	NA	NA	NA
r_0486	fumarase	c_10	NA	NA	NA	NA
r_0488	fumarate reductase	c_10	NA	NA	NA	NA
r_0489	fumarate reductase FMN	c_02	NA	NA	NA	NA
r_0496	geranyltranstransferase	c_02	NA	NA	NA	NA
r_0497	"glucan 1,4-alpha-glucosidase"	c_02	NA	NA	NA	NA
r_0499	glucokinase	c_02	NA	NA	NA	NA
r_0501	glucose 6-phosphate dehydrogenase	c_02	NA	NA	NA	NA
r_0502	glucose 6-phosphate dehydrogenase	c_03	NA	NA	NA	NA
r_1292	glucose 6-phosphate transport	exchange	NA	NA	NA	NA
r_1293	glucose transport	exchange	NA	NA	NA	NA
r_0503	glucose-6-phosphate isomerase	c_02	NA	NA	NA	NA
r_0504	glucose-6-phosphate isomerase	c_02	NA	NA	NA	NA
r_0505	glucose-6-phosphate isomerase	c_02	NA	NA	NA	NA
r_0506	glutamate 5-kinase	c_02	NA	NA	NA	NA
r_0507	glutamate decarboxylase	c_02	NA	NA	NA	NA
r_0508	glutamate dehydrogenase (NAD)	c_02	NA	NA	NA	NA
r_0510	glutamate synthase (NADH2)	c_02	NA	NA	NA	NA
r_0511	glutamate-5-semialdehyde dehydrogenase	c_02	NA	NA	NA	NA
r_0512	glutamate-5-semialdehyde dehydrogenase	c_02	NA	NA	NA	NA
r_0514	glutamine phosphoribosyldiphosphate amidotransferase	c_02	NA	NA	NA	NA
r_0515	glutamine synthetase	c_02	NA	NA	NA	NA
r_0525	glyceraldehyde-3-phosphate dehydrogenase	c_02	NA	NA	NA	NA
r_0528	glycerol-3-phosphatase	c_02	NA	NA	NA	NA
r_0529	glycerol-3-phosphate dehydrogenase (fad)	c_10	NA	NA	NA	NA
r_0530	glycerol-3-phosphate dehydrogenase (NAD)	c_02	NA	NA	NA	NA
r_0531	glycerol-3-phosphate dehydrogenase (NAD)	c_10	NA	NA	NA	NA
r_0537	glycine C-acetyltransferase	c_02	NA	NA	NA	NA
r_0538	glycine cleavage system	c_10	NA	NA	NA	NA
r_0539	glycine hydroxymethyltransferase	c_02	NA	NA	NA	NA
r_0540	"glycine hydroxymethyltransferase,"	c_10	NA	NA	NA	NA
r_1302	glycine transport	exchange	NA	NA	NA	NA
r_0542	glycine-cleavage complex (lipoamide)	c_10	NA	NA	NA	NA
r_0543	glycine-cleavage complex (lipoylprotein)	c_10	NA	NA	NA	NA
r_0544	glycine-cleavage complex (lipoylprotein)	c_10	NA	NA	NA	NA
r_0545	glycine-cleavage complex (lipoylprotein)	c_10	NA	NA	NA	NA
r_1308	glyoxylate transport	exchange	NA	NA	NA	NA
r_0551	GMP synthase	c_02	NA	NA	NA	NA
r_0563	GTP diphosphohydrolase	c_02	NA	NA	NA	NA
r_1309	GTP/GDP translocase	exchange	NA	NA	NA	NA
r_0564	guanine deaminase	c_02	NA	NA	NA	NA
r_0565	guanine phosphoribosyltransferase	c_02	NA	NA	NA	NA
r_0566	guanosine kinase	c_02	NA	NA	NA	NA
r_1314	H2O transport	exchange	NA	NA	NA	NA
r_1315	H2O transport	exchange	NA	NA	NA	NA
r_1317	H2O transport	exchange	NA	NA	NA	NA
r_1319	H2O transport	exchange	NA	NA	NA	NA
r_1322	hexacosanoyl-CoA transport	exchange	NA	NA	NA	NA
r_0572	hexokinase (D-fructose:ATP)	c_02	NA	NA	NA	NA
r_0573	hexokinase (D-glucose:ATP)	c_02	NA	NA	NA	NA
r_0575	histidinol dehydrogenase	c_02	NA	NA	NA	NA
r_0576	histidinol-phosphatase	c_02	NA	NA	NA	NA
r_0577	histidinol-phosphate transaminase	c_02	NA	NA	NA	NA
r_0581	homoacontinate hydratase	c_10	NA	NA	NA	NA
r_0582	homocitrate synthase	c_10	NA	NA	NA	NA
r_0584	homocysteine S-methyltransferase	c_02	NA	NA	NA	NA
r_0585	homoisocitrate dehydrogenase	c_10	NA	NA	NA	NA
r_0587	homoserine dehydrogenase (NADP)	c_02	NA	NA	NA	NA
r_0588	homoserine kinase	c_02	NA	NA	NA	NA
r_0589	homoserine O-trans-acetylase	c_02	NA	NA	NA	NA
r_0590	hydrogen peroxide reductase (thioredoxin)	c_02	NA	NA	NA	NA
r_0592	hydrogen peroxide reductase (thioredoxin)	c_14	NA	NA	NA	NA
r_0593	hydroxyacylglutathione hydrolase	c_02	NA	NA	NA	NA
r_0598	hydroxymethylglutaryl CoA reductase	c_02	NA	NA	NA	NA
r_0599	hydroxymethylglutaryl CoA synthase	c_02	NA	NA	NA	NA
r_0600	hydroxymethylglutaryl CoA synthase	c_10	NA	NA	NA	NA
r_1327	hydroxymethylglutaryl-CoA transport	exchange	NA	NA	NA	NA
r_0602	hypothetical enyme	c_02	NA	NA	NA	NA
r_0603	hypoxanthine phosphoribosyltransferase (Hypoxanthine)	c_02	NA	NA	NA	NA
r_0604	Imidazole-glycerol-3-phosphate synthase	c_02	NA	NA	NA	NA
r_0605	imidazoleglycerol-phosphate dehydratase	c_02	NA	NA	NA	NA
r_0606	IMP cyclohydrolase	c_02	NA	NA	NA	NA
r_0607	IMP dehydrogenase	c_02	NA	NA	NA	NA
r_0608	indole-3-glycerol-phosphate synthase	c_02	NA	NA	NA	NA
r_0610	inorganic diphosphatase	c_02	NA	NA	NA	NA
r_0611	inorganic diphosphatase	c_10	NA	NA	NA	NA
r_0619	insosine kinase	c_02	NA	NA	NA	NA
r_0621	IPC synthase	c_06	NA	NA	NA	NA
r_0622	IPC synthase	c_06	NA	NA	NA	NA
r_0623	IPC synthase	c_06	NA	NA	NA	NA
r_0627	isoamyl acetate-hydrolyzing esterase	c_02	NA	NA	NA	NA
r_1340	isoamyl alcohol transport	exchange	NA	NA	NA	NA
r_0630	isocitrate dehydrogenase (NADP)	c_02	NA	NA	NA	NA
r_0631	isocitrate dehydrogenase (NADP+)	c_10	NA	NA	NA	NA
r_0632	isocitrate dehydrogenase (NADP+)	c_14	NA	NA	NA	NA
r_0633	isocitrate lyase	c_02	NA	NA	NA	NA
r_0634	isoleucine transaminase	c_02	NA	NA	NA	NA
r_0635	isoleucine transaminase	c_10	NA	NA	NA	NA
r_0638	isopentenyl-diphosphate D-isomerase	c_02	NA	NA	NA	NA
r_0640	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate)	c_10	NA	NA	NA	NA
r_0641	kynureninase	c_02	NA	NA	NA	NA
r_0642	kynurenine 3-monooxygenase	c_02	NA	NA	NA	NA
r_0645	L-2-amino-3-oxobutanoate decarboxylation (spontaneous)	c_02	NA	NA	NA	NA
r_0647	L-alanine transaminase	c_10	NA	NA	NA	NA
r_1346	L-alanine transport	exchange	NA	NA	NA	NA
r_0648	L-allo-threonine aldolase	c_02	NA	NA	NA	NA
r_0649	L-allo-threonine dehydrogenase	c_02	NA	NA	NA	NA
r_0650	L-aminoadipate-semialdehyde dehydrogenase (NADH)	c_02	NA	NA	NA	NA
r_0651	L-aminoadipate-semialdehyde dehydrogenase (NADPH)	c_02	NA	NA	NA	NA
r_0652	L-asparaginase	c_02	NA	NA	NA	NA
r_0653	L-asparaginase	c_05	NA	NA	NA	NA
r_1352	L-asparagine transport	exchange	NA	NA	NA	NA
r_1356	L-aspartate transport	exchange	NA	NA	NA	NA
r_0657	L-glutamate 5-semialdehyde dehydratase	c_02	NA	NA	NA	NA
r_0658	"L-glutamate 5-semialdehyde dehydratase,"	c_10	NA	NA	NA	NA
r_1374	L-isoleucine transport	exchange	NA	NA	NA	NA
r_0663	L-lactaldehyde:NADP+ 1-oxidoreductase	c_02	NA	NA	NA	NA
r_1384	L-leucine transport	exchange	NA	NA	NA	NA
r_1391	L-proline transport	exchange	NA	NA	NA	NA
r_0664	L-serine deaminase	c_02	NA	NA	NA	NA
r_0667	L-threonine deaminase	c_02	NA	NA	NA	NA
r_0668	L-threonine deaminase	c_10	NA	NA	NA	NA
r_0669	"L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)"	c_02	NA	NA	NA	NA
r_0671	lactaldehyde dehydrogenase	c_02	NA	NA	NA	NA
r_0672	lactoylglutathione lyase	c_02	NA	NA	NA	NA
r_0673	lanosterol synthase	c_02	NA	NA	NA	NA
r_0674	leucine transaminase	c_02	NA	NA	NA	NA
r_0688	malate dehydrogenase	c_02	NA	NA	NA	NA
r_0689	malate dehydrogenase	c_10	NA	NA	NA	NA
