rx	reversible	ECfreeE	ECfreeEsd	ECdir	SMfreeE	SMfreeEsd	SMdir
r_0297	0	NA	NA	NA	NA	NA	NA
r_0298	0	NA	NA	NA	NA	NA	NA
r_0299	0	NA	NA	NA	NA	NA	NA
r_0300	0	NA	NA	NA	NA	NA	NA
r_0301	0	NA	NA	NA	NA	NA	NA
r_0302	0	NA	NA	NA	NA	NA	NA
r_0303	0	NA	NA	NA	NA	NA	NA
r_0304	1	NA	NA	NA	-56.20088765	5.074096222	1
r_0305	1	NA	NA	NA	-197.6037656	10.33085082	1
r_0306	1	-44.58596459	3.795413357	1	-44.58596459	3.795413357	1
r_0307	0	NA	NA	NA	-0.636355363	1.719116226	0
r_0308	0	NA	NA	NA	-0.636355363	1.719116226	0
r_0309	0	NA	NA	NA	NA	NA	NA
r_0310	0	NA	NA	NA	NA	NA	NA
r_0311	0	NA	NA	NA	NA	NA	NA
r_0312	0	NA	NA	NA	NA	NA	NA
r_0313	0	NA	NA	NA	NA	NA	NA
r_0314	0	NA	NA	NA	NA	NA	NA
r_0315	0	NA	NA	NA	NA	NA	NA
r_0316	0	NA	NA	NA	NA	NA	NA
r_0317	0	NA	NA	NA	NA	NA	NA
r_0318	0	NA	NA	NA	NA	NA	NA
r_0319	0	NA	NA	NA	NA	NA	NA
r_0320	0	NA	NA	NA	NA	NA	NA
r_0321	0	NA	NA	NA	NA	NA	NA
r_0322	0	NA	NA	NA	NA	NA	NA
r_0323	0	NA	NA	NA	NA	NA	NA
r_0324	0	NA	NA	NA	NA	NA	NA
r_0325	0	NA	NA	NA	NA	NA	NA
r_0326	0	NA	NA	NA	NA	NA	NA
r_0327	0	NA	NA	NA	NA	NA	NA
r_0328	1	-37.04136948	1.164491713	1	-37.04136948	1.164491713	1
r_0329	1	-37.04136948	1.164491713	1	-37.04136948	1.164491713	1
r_0330	0	NA	NA	NA	8.039839917	1.716747487	0
r_0331	0	NA	NA	NA	8.039839917	1.716747487	0
r_0332	0	NA	NA	NA	4.756373767	3.060610021	1
r_0333	0	0	1e+06	1	0	1e+06	1
r_0334	0	NA	NA	NA	NA	NA	NA
r_0335	0	-19.71342337	3.190770107	1	-19.71342337	3.190770107	1
r_0336	0	-19.71342337	3.190770107	1	NA	NA	NA
r_0337	0	NA	NA	NA	4.368630392	4.860570523	1
r_0338	0	NA	NA	NA	NA	NA	NA
r_0339	0	NA	NA	NA	NA	NA	NA
r_0340	0	-40.37545782	9.735271523	1	NA	NA	NA
r_0341	1	-53.00513516	5.371853677	1	-53.00513516	5.371853677	1
r_0342	0	12.58384696	5.69595759	1	NA	NA	NA
r_0343	0	NA	NA	NA	-23.00006962	1.97175453	1
r_0344	0	-20.352569655	7.111842743	1	-21.16072913	3.168014242	1
r_0345	0	NA	NA	NA	0.769260274	3.635204461	0
r_0346	0	NA	NA	NA	NA	NA	NA
r_0347	0	NA	NA	NA	NA	NA	NA
r_0348	0	NA	NA	NA	NA	NA	NA
r_0349	1	-38.38841826	2.713040512	1	-38.38841826	2.713040512	1
r_0350	0	NA	NA	NA	NA	NA	NA
r_0351	0	NA	NA	NA	NA	NA	NA
r_0352	0	NA	NA	NA	NA	NA	NA
r_0353	0	25.71227131	0.815082918	0	NA	NA	NA
r_0354	0	NA	NA	NA	NA	NA	NA
r_0355	0	-20.386827	4.006023058	1	NA	NA	NA
r_0356	0	NA	NA	NA	NA	NA	NA
r_0357	0	NA	NA	NA	NA	NA	NA
r_0358	0	NA	NA	NA	14.45850172	5.153037389	1
r_0359	0	-19.780797325	4.398830157	1	-18.50769699	4.398830157	1
r_0360	0	NA	NA	NA	-1.228156191	1.118369716	0
r_0361	0	NA	NA	NA	14.49764429	5.153037389	1
r_0362	0	NA	NA	NA	3.384560716	3.635204461	0
r_0363	0	NA	NA	NA	NA	NA	NA
r_0364	0	-26.18430125	2.37489586	1	NA	NA	NA
r_0365	1	NA	NA	NA	-55.60646987	5.167700046	1
r_0366	0	NA	NA	NA	NA	NA	NA
r_0367	0	NA	NA	NA	-2.341556671	3.635204461	1
r_0368	0	NA	NA	NA	-2.341556671	3.635204461	1
r_0369	1	-90.71463338	4.954357598	1	NA	NA	NA
r_0370	0	NA	NA	NA	NA	NA	NA
r_0371	0	NA	NA	NA	NA	NA	NA
r_0372	0	NA	NA	NA	NA	NA	NA
r_0373	1	-98.44466714	9.449466451	1	-98.44466714	9.449466451	1
r_0374	1	-98.44466714	9.449466451	1	NA	NA	NA
r_0375	0	-22.07965254	1.699357503	0	-22.07965254	1.699357503	0
r_0376	0	-22.07965254	1.699357503	0	-22.07965254	1.699357503	0
r_0377	0	-15.33433769	4.171329953	1	-15.33433769	4.171329953	1
r_0378	0	NA	NA	NA	NA	NA	NA
r_0379	0	NA	NA	NA	NA	NA	NA
r_0380	0	NA	NA	NA	NA	NA	NA
r_0381	0	-4.11408649	2.324844903	0	-4.11408649	2.324844903	0
r_0382	0	NA	NA	NA	NA	NA	NA
r_0383	0	NA	NA	NA	NA	NA	NA
r_0384	0	-27.431328915	1.384868335	1	-27.43141562	1.384868335	1
r_0385	0	-27.431328915	1.384868335	1	-27.43124221	1.384868335	1
r_0386	0	NA	NA	NA	NA	NA	NA
r_0387	1	-64.28906686	2.423127932	1	NA	NA	NA
r_0388	0	-3.994235267	0.455483117	0	NA	NA	NA
r_0389	0	NA	NA	NA	NA	NA	NA
r_0390	0	NA	NA	NA	NA	NA	NA
r_0391	0	NA	NA	NA	NA	NA	NA
r_0392	0	NA	NA	NA	NA	NA	NA
r_0393	0	NA	NA	NA	NA	NA	NA
r_0394	0	NA	NA	NA	NA	NA	NA
r_0395	0	-0.953553561	3.635204461	0	-0.953553561	3.635204461	0
r_0396	1	-74.89887286	5.436962589	1	-74.89887286	5.436962589	1
r_0397	0	NA	NA	NA	NA	NA	NA
r_0398	0	-4.14091489	1.06995047	0	-4.14091489	1.06995047	0
r_0399	0	-0.628854860833333	1.230057905	1	NA	NA	NA
r_0400	0	NA	NA	NA	NA	NA	NA
r_0401	0	NA	NA	NA	NA	NA	NA
r_0402	0	NA	NA	NA	NA	NA	NA
r_0403	0	NA	NA	NA	NA	NA	NA
r_0404	0	NA	NA	NA	NA	NA	NA
r_0405	1	-64.28906686	2.423127932	1	NA	NA	NA
r_0406	0	NA	NA	NA	NA	NA	NA
r_0407	0	NA	NA	NA	NA	NA	NA
r_0408	0	NA	NA	NA	NA	NA	NA
r_0409	0	NA	NA	NA	NA	NA	NA
r_0410	0	NA	NA	NA	NA	NA	NA
r_0411	0	NA	NA	NA	NA	NA	NA
r_0412	0	NA	NA	NA	NA	NA	NA
r_0413	0	NA	NA	NA	NA	NA	NA
r_0414	0	NA	NA	NA	NA	NA	NA
r_0415	0	NA	NA	NA	NA	NA	NA
r_0416	0	NA	NA	NA	NA	NA	NA
r_0417	0	NA	NA	NA	NA	NA	NA
r_0418	0	NA	NA	NA	NA	NA	NA
r_0419	0	NA	NA	NA	NA	NA	NA
r_0420	0	NA	NA	NA	NA	NA	NA
r_0421	0	NA	NA	NA	NA	NA	NA
r_0422	0	NA	NA	NA	NA	NA	NA
r_0423	0	NA	NA	NA	NA	NA	NA
r_0424	0	NA	NA	NA	NA	NA	NA
r_0425	0	NA	NA	NA	NA	NA	NA
r_0426	0	NA	NA	NA	NA	NA	NA
r_0427	0	NA	NA	NA	NA	NA	NA
r_0428	0	NA	NA	NA	NA	NA	NA
r_0429	0	NA	NA	NA	NA	NA	NA
r_0430	0	NA	NA	NA	NA	NA	NA
r_0431	0	NA	NA	NA	NA	NA	NA
r_0432	0	NA	NA	NA	NA	NA	NA
r_0433	0	NA	NA	NA	NA	NA	NA
r_0434	0	NA	NA	NA	NA	NA	NA
r_0435	0	NA	NA	NA	NA	NA	NA
r_0436	0	NA	NA	NA	NA	NA	NA
r_0437	0	NA	NA	NA	NA	NA	NA
r_0438	0	NA	NA	NA	NA	NA	NA
r_0439	0	NA	NA	NA	NA	NA	NA
r_0440	0	NA	NA	NA	NA	NA	NA
r_0441	0	NA	NA	NA	NA	NA	NA
r_0442	0	NA	NA	NA	NA	NA	NA
r_0443	0	NA	NA	NA	NA	NA	NA
r_0444	0	NA	NA	NA	NA	NA	NA
r_0445	0	NA	NA	NA	NA	NA	NA
r_0446	0	NA	NA	NA	NA	NA	NA
r_0447	0	NA	NA	NA	NA	NA	NA
r_0448	0	NA	NA	NA	NA	NA	NA
r_0449	0	NA	NA	NA	NA	NA	NA
r_0450	0	NA	NA	NA	NA	NA	NA
r_0451	0	NA	NA	NA	NA	NA	NA
r_0452	0	NA	NA	NA	NA	NA	NA
r_0453	0	NA	NA	NA	NA	NA	NA
r_0454	0	NA	NA	NA	NA	NA	NA
r_0455	0	NA	NA	NA	NA	NA	NA
r_0456	0	NA	NA	NA	NA	NA	NA
r_0457	0	NA	NA	NA	NA	NA	NA
r_0458	0	NA	NA	NA	NA	NA	NA
r_0459	0	NA	NA	NA	NA	NA	NA
r_0460	0	NA	NA	NA	NA	NA	NA
r_0461	0	NA	NA	NA	NA	NA	NA
r_0462	0	NA	NA	NA	NA	NA	NA
r_0463	0	NA	NA	NA	NA	NA	NA
r_0464	0	NA	NA	NA	NA	NA	NA
r_0465	0	NA	NA	NA	NA	NA	NA
r_0466	0	NA	NA	NA	NA	NA	NA
r_0467	0	NA	NA	NA	NA	NA	NA
r_0468	0	0	1e+06	1	0	1e+06	1
r_0469	0	NA	NA	NA	NA	NA	NA
r_0470	0	NA	NA	NA	NA	NA	NA
r_0471	0	NA	NA	NA	NA	NA	NA
r_0472	0	0	1e+06	1	0	1e+06	1
r_0473	0	NA	NA	NA	0	1e+06	1
r_0474	0	NA	NA	NA	-11.77798761	1.414213562	1
r_0475	0	NA	NA	NA	-9.768985563	1.414213562	1
r_0476	0	NA	NA	NA	NA	NA	NA
r_0477	0	NA	NA	NA	NA	NA	NA
r_0478	0	NA	NA	NA	NA	NA	NA
r_0479	0	NA	NA	NA	NA	NA	NA
r_0480	0	NA	NA	NA	NA	NA	NA
r_0481	0	NA	NA	NA	-21.38756388	1.672377982	1
r_0482	0	NA	NA	NA	NA	NA	NA
r_0483	0	-10.16641022	1.658144653	1	-10.16641022	1.658144653	1
r_0484	0	25.71227131	0.815082918	0	NA	NA	NA
r_0485	0	-2.928290129	1.097415953	0	-2.928290129	1.097415953	0
r_0486	0	-2.928290129	1.097415953	0	-2.928290129	1.097415953	0
r_0487	1	-98.44466714	9.449466451	1	NA	NA	NA
r_0488	0	NA	NA	NA	NA	NA	NA
r_0489	0	NA	NA	NA	NA	NA	NA
r_0490	0	NA	NA	NA	NA	NA	NA
r_0491	0	-8.689033959	2.902407329	1	NA	NA	NA
r_0492	0	-10.60946685	1.057227849	0	-10.60946685	1.057227849	0
r_0493	0	0	0	0	NA	NA	NA
r_0494	0	4.537476952	5.592140878	1	4.537476952	5.592140878	1
r_0495	0	NA	NA	NA	NA	NA	NA
r_0496	1	-64.28906686	2.423127932	1	-63.24306686	2.423127932	1
